Designator,Footprint,Quantity,Value,LCSC Part #
J1,Jack_3.5mm_PJ320D_Horizontal,1,AudioJack4,C431535
R1,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,GL5528,C125627
